Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,453.369995,455.040009,452.299988,454.200012,452.603516,54023400
2023-07-25,453.920013,456.739990,453.869995,455.440002,453.839142,55191200
2023-07-26,454.470001,456.989990,453.380005,455.510010,453.908905,71052900
2023-07-27,459.019989,459.440002,451.549988,452.489990,450.899506,92194400
2023-07-28,455.880005,457.779999,452.489990,456.920013,455.313965,80011800
2023-07-31,457.410004,458.160004,456.049988,457.790009,456.180908,62040400
2023-08-01,456.269989,457.250000,455.489990,456.480011,454.875519,55291500
2023-08-02,453.250000,453.519989,449.350006,450.130005,448.547821,93933400
2023-08-03,448.040009,450.790009,447.369995,448.839996,447.262360,64276100
2023-08-04,450.720001,452.899994,446.269989,446.809998,445.239471,100052300
2023-08-07,448.709991,450.869995,447.989990,450.709991,449.125763,58357500
2023-08-08,448.079987,450.700012,445.269989,448.750000,447.172668,71361300
2023-08-09,449.029999,449.200012,444.959991,445.750000,444.183228,78789600
2023-08-10,448.190002,451.700012,444.700012,445.910004,444.342651,93005500
2023-08-11,443.970001,446.700012,443.350006,445.649994,444.083557,68664600
2023-08-14,444.700012,448.109985,444.380005,448.109985,446.534912,47867400
2023-08-15,446.269989,446.640015,442.299988,442.890015,441.333282,75707500
2023-08-16,442.459991,444.179993,439.529999,439.640015,438.094696,80107200
2023-08-17,441.160004,441.429993,435.750000,436.290009,434.756470,95711300
2023-08-18,433.369995,437.570007,433.010010,436.500000,434.965729,98758400
2023-08-21,437.549988,440.109985,435.320007,439.339996,437.795746,68719000
2023-08-22,441.179993,441.179993,437.570007,438.149994,436.609924,65062900
2023-08-23,439.250000,443.670013,439.100006,443.029999,441.472778,68441000
2023-08-24,444.690002,445.220001,436.859985,436.890015,435.354370,88517300
2023-08-25,438.679993,441.299988,435.000000,439.970001,438.423523,102325100
2023-08-28,442.239990,443.399994,439.970001,442.760010,441.203735,61595400
2023-08-29,442.649994,449.450012,442.459991,449.160004,447.581238,83081900
2023-08-30,449.510010,451.670013,448.779999,451.010010,449.424744,69053900
2023-08-31,451.649994,452.829987,450.160004,450.350006,448.767059,66084600
2023-09-01,453.170013,453.670013,449.679993,451.190002,449.604095,58875700
2023-09-05,450.730011,451.059998,449.170013,449.239990,447.660950,55166200
2023-09-06,448.399994,448.510010,443.809998,446.220001,444.651550,70758500
2023-09-07,443.109985,445.549988,442.750000,444.850006,443.286377,70355400
2023-09-08,444.899994,447.109985,444.529999,445.519989,443.954010,61659700
2023-09-11,448.239990,448.769989,446.470001,448.450012,446.873749,60180100
2023-09-12,446.950012,448.529999,445.390015,445.989990,444.422363,67565400
2023-09-13,446.220001,447.709991,445.079987,446.510010,444.940552,60199300
2023-09-14,449.070007,451.079987,447.720001,450.359985,448.777008,83430800
2023-09-15,447.140015,447.480011,442.920013,443.369995,443.369995,111761400
2023-09-18,443.049988,444.970001,442.559998,443.630005,443.630005,55752200
2023-09-19,442.679993,443.290009,439.940002,442.709991,442.709991,66514600
2023-09-20,444.010010,444.440002,438.429993,438.640015,438.640015,82562600
2023-09-21,435.700012,435.970001,431.230011,431.390015,431.390015,103976100
2023-09-22,432.450012,434.100006,429.989990,430.420013,430.420013,100829700
2023-09-25,429.170013,432.269989,428.720001,432.230011,432.230011,70874500
2023-09-26,429.089996,429.820007,425.019989,425.880005,425.880005,96168400
2023-09-27,427.089996,427.670013,422.290009,426.049988,426.049988,104705800
2023-09-28,425.480011,430.250000,424.869995,428.519989,428.519989,92258300
2023-09-29,431.670013,431.850006,425.910004,427.480011,427.480011,115078500
2023-10-02,426.619995,428.600006,424.459991,427.309998,427.309998,83798600
2023-10-03,425.059998,427.369995,420.179993,421.589996,421.589996,103760600
2023-10-04,422.070007,425.429993,420.559998,424.660004,424.660004,87453000
2023-10-05,424.359985,425.369995,421.170013,424.500000,424.500000,70142700
2023-10-06,421.970001,431.130005,420.600006,429.540009,429.540009,113202700
2023-10-09,427.579987,432.880005,427.010010,432.290009,432.290009,80374400
2023-10-10,432.940002,437.220001,432.529999,434.540009,434.540009,78607300
2023-10-11,435.640015,436.579987,433.179993,436.320007,436.320007,62451700
2023-10-12,436.950012,437.339996,431.230011,433.660004,433.660004,81154200
2023-10-13,435.209991,436.450012,429.880005,431.500000,431.500000,95143100
2023-10-16,433.820007,437.140015,433.570007,436.040009,436.040009,75433200
2023-10-17,432.809998,438.140015,432.450012,436.019989,436.019989,75324700
2023-10-18,434.190002,435.179993,429.089996,430.209991,430.209991,93559800
2023-10-19,430.950012,432.820007,425.730011,426.429993,426.429993,121323000
2023-10-20,425.980011,426.540009,421.079987,421.190002,421.190002,123845800
2023-10-23,419.609985,424.450012,417.799988,420.459991,420.459991,92035100
